Period;January 1, 2016 12:00 AM -> May 11, 2023 9:00 AM;

;Time;Weather icon;Average Temperature (°C);Rainfall (mm);Afficheur Pont de FilAfficheur Pont de Fil;
;2017-01-26 00:00:00;Sunny;0;0;;
;2017-01-27 00:00:00;Cloudy;4.5;0;;
;2017-01-28 00:00:00;Sunny;6.5;0.3;;
;2017-01-29 00:00:00;Overcast;6.5;0.6;;
;2017-01-30 00:00:00;Overcast;9.5;2.3;;
;2017-01-31 00:00:00;Fog;11;1.2;;
;2017-02-01 00:00:00;Fog;9.5;0.8;;
;2017-02-02 00:00:00;Overcast;10;5.3;;
;2017-02-03 00:00:00;Partly cloudy;7.5;0.7;;
;2017-02-04 00:00:00;Thundery outbreaks possible;8;7.4;;
;2017-02-05 00:00:00;Sunny;8;5;;
;2017-02-06 00:00:00;Overcast;5;1.5;;
;2017-02-07 00:00:00;Sunny;8;2.4;;
;2017-02-08 00:00:00;Partly cloudy;6;2.1;;
;2017-02-09 00:00:00;Cloudy;3;0.1;;
;2017-02-10 00:00:00;Sunny;2;0;;
;2017-02-11 00:00:00;Sunny;1.5;0.1;;
;2017-02-12 00:00:00;Overcast;3.5;0.5;;
;2017-02-13 00:00:00;Sunny;9.5;0.4;;
;2017-02-14 00:00:00;Overcast;11.5;0.7;;
;2017-02-15 00:00:00;Partly cloudy;11;0.1;;
;2017-02-16 00:00:00;Cloudy;10;0.8;;
;2017-02-17 00:00:00;Partly cloudy;8;0;;
;2017-02-18 00:00:00;Partly cloudy;7;0;;
;2017-02-19 00:00:00;Sunny;6;0;;
;2017-02-20 00:00:00;Overcast;8;0.6;;
;2017-02-21 00:00:00;Cloudy;10;0.2;;
;2017-02-22 00:00:00;Overcast;8.5;0;;
;2017-02-23 00:00:00;Overcast;8;0;;
;2017-02-24 00:00:00;Cloudy;5.5;0;;
;2017-02-25 00:00:00;Sunny;6.5;0;;
;2017-02-26 00:00:00;Cloudy;8.5;0.1;;
;2017-02-27 00:00:00;Overcast;8;3;;
;2017-02-28 00:00:00;Sunny;6.5;0.1;;
;2017-03-01 00:00:00;Overcast;9;6.4;;
;2017-03-02 00:00:00;Sunny;7;0;;
;2017-03-03 00:00:00;Partly cloudy;11;1.7;;
;2017-03-04 00:00:00;Fog;7.5;2.3;;
;2017-03-05 00:00:00;Overcast;7.5;7.6;;
;2017-03-06 00:00:00;Overcast;8;2.4;;
;2017-03-07 00:00:00;Cloudy;6;1.7;;
;2017-03-08 00:00:00;Overcast;10;0;;
;2017-03-09 00:00:00;Cloudy;11;0;;
;2017-03-10 00:00:00;Partly cloudy;12;0.1;;
;2017-03-11 00:00:00;Cloudy;11;0;;
;2017-03-12 00:00:00;Overcast;12;3.5;;
;2017-03-13 00:00:00;Overcast;10;2.8;;
;2017-03-14 00:00:00;Sunny;9.5;0;;
;2017-03-15 00:00:00;Mist;9;0;;
;2017-03-16 00:00:00;Sunny;12.5;0;;
;2017-03-17 00:00:00;Cloudy;8.5;0;;
;2017-03-18 00:00:00;Overcast;9;0.1;;
;2017-03-19 00:00:00;Overcast;10.5;0.6;;
;2017-03-20 00:00:00;Overcast;10;0.2;;
;2017-03-21 00:00:00;Overcast;7.5;1.4;;
;2017-03-22 00:00:00;Overcast;5.5;3.2;;
;2017-03-23 00:00:00;Overcast;7;1.3;;
;2017-03-24 00:00:00;Mist;6.5;0;;
;2017-03-25 00:00:00;Sunny;11;0.1;;
;2017-03-26 00:00:00;Sunny;11;0.1;;
;2017-03-27 00:00:00;Sunny;12;0;;
;2017-03-28 00:00:00;Mist;11.5;0.2;;
;2017-03-29 00:00:00;Sunny;13;0;;
;2017-03-30 00:00:00;Sunny;15;0;;
;2017-03-31 00:00:00;Overcast;12.5;0.3;;
;2017-04-01 00:00:00;Sunny;11;1.7;;
;2017-04-02 00:00:00;Partly cloudy;10;0;;
;2017-04-03 00:00:00;Sunny;12;0.2;;
;2017-04-04 00:00:00;Sunny;9.5;0.3;;
;2017-04-05 00:00:00;Overcast;10;0.1;;
;2017-04-06 00:00:00;Sunny;9.5;0;;
;2017-04-07 00:00:00;Sunny;11;0;;
;2017-04-08 00:00:00;Sunny;14;0;;
;2017-04-09 00:00:00;Sunny;17;0;;
;2017-04-10 00:00:00;Partly cloudy;11.5;0;;
;2017-04-11 00:00:00;Sunny;10;0;;
;2017-04-12 00:00:00;Sunny;11.5;0;;
;2017-04-13 00:00:00;Sunny;11;0;;
;2017-04-14 00:00:00;Cloudy;11;0;;
;2017-04-15 00:00:00;Cloudy;11.5;0.4;;
;2017-04-16 00:00:00;Partly cloudy;9;0;;
;2017-04-17 00:00:00;Overcast;9;0.1;;
;2017-04-18 00:00:00;Sunny;8;0;;
;2017-04-19 00:00:00;Sunny;7;0;;
;2017-04-20 00:00:00;Sunny;6.5;0;;
;2017-04-21 00:00:00;Sunny;9;0;;
;2017-04-22 00:00:00;Sunny;11;0;;
;2017-04-23 00:00:00;Sunny;11;0;;
;2017-04-24 00:00:00;Cloudy;11;0;;
;2017-04-25 00:00:00;Light drizzle;5.5;1.1;;
